Block 6 (size 2299)
+-------+---------------------------+---------------------------------------------+------------+------------+-----------------------------------------+
|       | handle                    | display_name                                |   fs_count |   fg_count | description                             |
|    61 | mashcroft.bsky.social                                                 | Michael Ashcroft                |        710 |        224 | clear intentions, li   |
|     2 | vgr.bsky.social                                                       | Venkatesh Rao                   |        788 |        169 | Blogger at ribbonfar   |
|  5300 | embryosophy.bsky.social                                               | + big buddhi + 🦋               |        576 |        354 | free your ass and yo   |
|  4699 | tasshin.com                                                           | Love Pilgrim                    |        544 |        397 | dare to let love be    |
|   120 | princevogelfrei.bsky.social                                           | Prince Vogelfrei                |        571 |        138 | Searching for the de   |
|    87 | nvpkp.bsky.social                                                     | nvpkp                           |        645 |        105 | wallflower at the mm   |
|   107 | tenobrus.bsky.social                                                  | Tenobrus                        |        609 |        334 | this endless blue sk   |
|   141 | ceo.ingroup.social                                                    | CEO                             |        673 |        235 | I own this fucking j   |
|    17 | wilderless.quest                                                      | river                           |        612 |        287 | we’re here to renew    |
|    86 | thinkwert.bsky.social                                                 | Thinkwert                       |        550 |        327 | The tygers of wrath    |
|   127 | leaacta.bsky.social                                                   | 🔪                              |        612 |        519 | careless & blessed     |
|   139 | michaelcurzi.bsky.social                                              | 𝖒𝖎𝖈𝖍𝖆𝖊𝖑𝖈𝖚𝖗𝖟𝖎                    |        517 |        135 |                        |
|    67 | alitaylor.bsky.social                                                 | ali                             |        603 |        154 | hello friends          |
|  7499 | maz.bsky.social                                                       | alice maz (in chiangmai)        |        662 |        103 | true neutral           |
|   132 | mage.bsky.social                                                      | cigar jesus (resurrection)      |        459 |        136 | bluesky meteorologis   |
|    76 | lisatomic.bsky.social                                                 | lisatomic                       |        477 |        191 |                        |
|    28 | selentelechia.bsky.social                                             | selene                          |        486 |        122 | domestic artist        |
|    42 | natsharpe.com                                                         | NAT 💛                          |        553 |        186 | doing stuff            |
|    58 | daniellefong.bsky.social                                              | Danielle Fong                   |        709 |        243 | ultralight power and   |
|     8 | monk.bsky.social                                                      | monk                            |        515 |        118 | improver of circumst   |
|   134 | birb.bsky.social                                                      | Birb                            |        924 |        926 | the artist formerly    |
|  4098 | simonsarris.bsky.social                                               | Simon Sarris                    |        518 |         93 | the treasure is not    |
|   117 | benratkey.com                                                         | Ben                             |        634 |        294 | median viable weirdn   |
|   126 | gfodor.id                                                             | gfodor                          |        627 |        109 | Anti-physist technol   |
| 10400 | aliceisjustplaying.bsky.social                                        | alice                           |        714 |        128 | 📍 london🤖 @songofson |
|   144 | olly.systems                                                          | o||y                            |        578 |        133 | ó na coillte           |
|  3427 | madeincosmos.net                                                      | Made in Cosmos ✨               |        620 |        321 | beauty as a way of l   |
|  4041 | goblinodds.bsky.social                                                | jobhuntin' goblin               |        462 |        223 | illiterate lawn carr   |
|  4593 | milquepoast.bsky.social                                               | Grace                           |        458 |        194 |                        |
|   143 | sympatheticopp.bsky.social                                            |                                 |        388 |        172 |                        |
|  5418 | ungated.life                                                          | rob hardy                       |        551 |        331 | building a more beau   |
|   136 | ruthhook.bsky.social                                                  | ruth hook                       |        548 |         74 | science facts, lab r   |
|   114 | 2153.io                                                               | metallurgist                    |        415 |        322 | good luck and godspe   |
|     5 | danabramov.bsky.social                                                | dan                             |        642 |        124 | awol on a thursday     |
|   108 | orthonormalist.bsky.social                                            | ☉rthonormalist 🧭               |        479 |         68 | Libertarian Transhum   |
|  2264 | sonyasupposedly.bsky.social                                           | sonya supposedly                |        476 |        156 |                        |
|  3974 | probability.bsky.social                                               | Tripp                           |        480 |         43 | Love is the only thi   |
|   138 | critter.bsky.social                                                   | Critter                         |        475 |        514 | Interviewing the sex   |
|    81 | typeofemale.ingroup.social                                            | typeo(wl)female (e/jugaad, DMM) |        425 |        188 | not a @typedfemale.b   |
|  5251 | hannah.bsky.social                                                    | sungorl 🍒                      |        477 |        194 | radiant. sundappled.   |
|   119 | kiwi.ingroup.social                                                   | kiwi                            |        376 |        251 | @pareinoia on twitte   |
|  3769 | qephatziel.bsky.social                                                | KZL                             |        514 |        249 | ꧁༑꧂                    |
|   137 | hyperdiscogirl.bsky.social                                            | hyper(bolic) disco(unting) girl |        377 |         95 |                        |
| 10713 | atroyn.bsky.social                                                    | anton                           |        475 |         66 | fuck it we ball        |
|   121 | flys.haus                                                             | Fly                             |        518 |        216 | More stuff I can't k   |
|   111 | snav.bsky.social                                                      | snav                            |        366 |        362 | @qorprate -- here to   |
|  4536 | mattparlmer.bsky.social                                               | mattparlmer                     |        386 |        145 |                        |
|  4419 | skooks.bsky.social                                                    | skooks                          |        440 |         46 | ride the liger         |
|  4580 | onsu.re                                                               | Hek!                            |        458 |        938 | ur future corpus cal   |
|   103 | lithros.vibe.camp                                                     | Scott Hansen                    |        365 |        110 | you all know meknow    |
|  4049 | sophie.bsky.social                                                    | sophie                          |        486 |        139 | sophiecapital.substa   |
|  4599 | storebrand.ingroup.social                                             | storebrandguy                   |        456 |        217 | ex-twitter             |
|   125 | generativist.xyz                                                      | breaker                         |        476 |        401 |                        |
|    41 | xenia.bsky.social                                                     | Xeniamorph 🔍                   |        406 |         71 | hi. the cuter linux    |
|  4584 | xychelsea.tv                                                          | Chelsea Manning                 |        814 |         89 | Security Consultant.   |
|  4570 | animalologist.bsky.social                                             | taco belle                      |        355 |        178 | just here to hang ou   |
|  4508 | landao.bsky.social                                                    | Laenigma                        |        348 |         84 | Ara longa, vita brev   |
|  4075 | 10x.bsky.social                                                       | 10x’er                          |        407 |        144 | (degenerative) ai en   |
|   133 | bungoman.com                                                          | bungoman                        |        321 |        115 | ((lambda (x) (list x   |
|  4731 | celeste.bsky.social                                                   | celeste                         |        283 |        151 | to transcend the hum   |
|   102 | stevenfan.bsky.social                                                 | Steven Fan                      |        324 |        260 | 🐚Crossing over from   |
|  4633 | theowl.bsky.social                                                    | gabe                            |        319 |         94 | sufficient unto the    |
|    57 | sigfig.bsky.social                                                    | sigfig                          |        372 |         89 | voted fbi’s hottest    |
|  3696 | tyleralterman.bsky.social                                             | Tyler Alterman                  |        320 |        114 | Breathe in the eveni   |
|   131 | rididelduol.bsky.social                                               | cozy luminous thing 💫          |        284 |         58 | laugh at the grief t   |
|    59 | andrewrose.bsky.social                                                | vibe revivalist                 |        420 |        190 | the world will be so   |
